material_name,cell_volume,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,density,num_sites,cell_length_ratio_max,cell_length_std,cell_sphericity,num_elements,total_atoms,element_diversity,avg_atomic_mass,total_mass,mass_std,avg_electronegativity,electronegativity_std,electronegativity_range,alkali_fraction,has_alkali,alkaline_earth_fraction,has_alkaline_earth,transition_3d_fraction,has_transition_3d,transition_4d_fraction,has_transition_4d,transition_5d_fraction,has_transition_5d,lanthanide_fraction,has_lanthanide,post_transition_fraction,has_post_transition,metal_fraction,nonmetal_fraction,carbon_content,n_o_ratio,heteroatom_content,max_pore_diameter,largest_free_sphere
DDEC_NHBZZN10,-0.312637127546438,0.26208545641357067,-1.2474317750511832,-0.17848943502342077,-0.15125764258168964,0.06027600631698738,-0.009611970241826613,0.7877218962565342,0.12698844363211576,0.18823129979441902,0.03281097083097291,0.07117789968025301,0.48388561336970454,0.12698844363211576,-0.4105139132764656,-0.16655880039822102,0.22759088575807085,0.1072708164738902,-0.044574352681909,0.08424739569780046,0.2440154806062553,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,-0.2814605486773219,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,-0.5619898686490914,0.5619898686490942,0.7270491646264577,-0.27173666023682297,-0.40407214210697184,-1.5704001523384241,-0.9512443768622157
DDEC_NIHBEM,0.00026891698765604653,1.7207012471609902,-1.2142548536172173,-0.6807387649577429,-0.09284158275687908,0.06027600631698738,-0.009611970241826613,1.403813852523794,-0.011746937369477883,0.848589768679706,0.6315539496086803,-0.8272293007130044,-0.9698935320612043,-0.011746937369477883,-0.6291270473306358,0.7585284170599024,0.7703647400684306,0.7875066398307348,0.4328493991291827,0.3394477417438904,0.3458317263458225,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.6298058712153717,-0.4143858528922396
DDEC_NIHBEM01,0.031184062552435717,1.7577096283738898,-1.1986901103156984,-0.6680844361371319,-0.08345669455237162,0.06027600631698738,-0.009611970241826613,1.3393512085271213,-0.011746937369477883,0.8558105531620712,0.647257650048141,-0.8358969078206542,-0.9698935320612043,-0.011746937369477883,-0.6291270473306358,0.7585284170599024,0.7703647400684306,0.7875066398307348,0.4328493991291827,0.3394477417438904,0.3458317263458225,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.6045153629668253,-0.523719065496512
DDEC_NIHBEM02,0.0816545012342697,1.8166999381440967,-1.1744491260890726,-0.6450074527646611,-0.07199391272995384,0.06027600631698738,-0.009611970241826613,1.2359498421857325,-0.011746937369477883,0.8679462012185086,0.6723978553054719,-0.8480020328481627,-0.9698935320612043,-0.011746937369477883,-0.6291270473306358,0.7585284170599024,0.7703647400684306,0.7875066398307348,0.4328493991291827,0.3394477417438904,0.3458317263458225,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.5468348815932751,-0.36621832745872085
DDEC_NIHBIQ,-1.4736432817956984,-1.4517175586901727,-1.1630110028544853,-0.5948070436642924,-0.09047422395215696,0.06027600631698738,-0.009611970241826613,1.1443765779016817,-0.948210759130235,0.20543719658163584,-0.090869176041454,-0.4703131427336386,-0.9698935320612043,-0.948210759130235,0.7055636658421921,-0.4269795535906274,-0.6156283488925554,-0.5192834734165758,-0.7310217564227295,-0.679570795309781,-0.7012956975102425,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.4854363956280096,-0.2859496933833491
DDEC_NIHBIQ01,-1.453374525896389,-1.4359365025169415,-1.1571945177626446,-0.5857332032309085,-0.08830465552232505,0.06027600631698738,-0.009611970241826613,1.1042716214301442,-0.948210759130235,0.19548203748019394,-0.09169466191806248,-0.4663795634017037,-0.9698935320612043,-0.948210759130235,0.7055636658421921,-0.4269795535906274,-0.6156283488925554,-0.5192834734165758,-0.7310217564227295,-0.679570795309781,-0.7012956975102425,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.47926221693334836,-0.3081571524183735
DDEC_NIHBIQ02,-1.4161549746642206,-1.4076224661811856,-1.146113866850487,-0.56841933472829,-0.08437543486486508,0.06027600631698738,-0.009611970241826613,1.0315377630760603,-0.948210759130235,0.1790183039489963,-0.09212335276244799,-0.4604165301552895,-0.9698935320612043,-0.948210759130235,0.7055636658421921,-0.4269795535906274,-0.6156283488925554,-0.5192834734165758,-0.7310217564227295,-0.679570795309781,-0.7012956975102425,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.5049448821222454,-0.28450847461332074
DDEC_NIKYOW,-0.049315988897730215,1.7216855126187802,-1.1993724759449707,-0.7725316966932978,-0.07057343370259095,0.06027600631698738,-0.009611970241826613,1.5090248770078767,-0.011746937369477883,0.8296167183951523,0.6343463469644504,-0.8774155849696753,-0.9698935320612043,-0.011746937369477883,-0.6291270473306358,0.7585284170599024,0.7703647400684306,0.7875066398307348,0.4328493991291827,0.3394477417438904,0.3458317263458225,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.7555716819646563,-0.48951504644807725
DDEC_NIKYOW01,-0.028877128184741453,1.7471451791269452,-1.1926135844996066,-0.7614468970287314,-0.06280680783331283,0.06027600631698738,-0.009611970241826613,1.4653831143887557,-0.011746937369477883,0.839831806239343,0.6475371560739095,-0.8840823782523568,-0.9698935320612043,-0.011746937369477883,-0.6291270473306358,0.7585284170599024,0.7703647400684306,0.7875066398307348,0.4328493991291827,0.3394477417438904,0.3458317263458225,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.722084163252141,-0.4710284698350435
DDEC_NIKYOW02,0.016599680527757645,1.7973427174742287,-1.172142102207859,-0.7381982464048187,-0.05055978029824956,0.06027600631698738,-0.009611970241826613,1.3696542814949793,-0.011746937369477883,0.850446093363927,0.6687052991548479,-0.891828531050016,-0.9698935320612043,-0.011746937369477883,-0.6291270473306358,0.7585284170599024,0.7703647400684306,0.7875066398307348,0.4328493991291827,0.3394477417438904,0.3458317263458225,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.6001315168352935,-0.48927484331973925
DDEC_NIKYUC,0.04286371472743611,1.7657806051277667,-1.1762363219791185,-0.6760792252757349,-0.0688632605169297,0.06027600631698738,-0.009611970241826613,1.3152211391541002,-0.011746937369477883,0.8322432379904131,0.6391155311380052,-0.8328232239040905,-0.9698935320612043,-0.011746937369477883,-0.6291270473306358,0.7585284170599024,0.7703647400684306,0.7875066398307348,0.4328493991291827,0.3394477417438904,0.3458317263458225,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.5901041495232828,-0.41985613923005083
DDEC_NIKYUC01,0.06978037269294539,1.8088914321789633,-1.1618087409955327,-0.6716894484174221,-0.06094123650590869,0.06027600631698738,-0.009611970241826613,1.260074070522144,-0.011746937369477883,0.8454911475674777,0.6612316950587493,-0.851589933742491,-0.9698935320612043,-0.011746937369477883,-0.6291270473306358,0.7585284170599024,0.7703647400684306,0.7875066398307348,0.4328493991291827,0.3394477417438904,0.3458317263458225,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.6133285616553956,-0.40432451430902444
DDEC_NIKZAJ,-0.06369032812019153,1.6628264382429447,-1.205188811561974,-0.7566156900952815,-0.07622703932526859,0.06027600631698738,-0.009611970241826613,1.5399496466641887,-0.011746937369477883,0.7929567194656312,0.5912815643288197,-0.8288346279402842,-0.9698935320612043,-0.011746937369477883,-0.6291270473306358,0.7585284170599024,0.7703647400684306,0.7875066398307348,0.4328493991291827,0.3394477417438904,0.3458317263458225,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.7474172232800652,-0.5192775736895072
DDEC_NIKZAJ01,-0.04182392357913748,1.694388550589407,-1.1978452265450386,-0.747345658517392,-0.06672175805494139,0.06027600631698738,-0.009611970241826613,1.4929826967543915,-0.011746937369477883,0.8070768395113675,0.6089498013249447,-0.8410267627626892,-0.9698935320612043,-0.011746937369477883,-0.6291270473306358,0.7585284170599024,0.7703647400684306,0.7875066398307348,0.4328493991291827,0.3394477417438904,0.3458317263458225,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.7144353354408899,-0.4981125055887796
DDEC_NIKZAJ02,-0.002874007178122398,1.744389235845133,-1.179420620178305,-0.7323860837488404,-0.05781049100820452,0.06027600631698738,-0.009611970241826613,1.4104157709699656,-0.011746937369477883,0.8204195223288558,0.6324762957458745,-0.8556131981840329,-0.9698935320612043,-0.011746937369477883,-0.6291270473306358,0.7585284170599024,0.7703647400684306,0.7875066398307348,0.4328493991291827,0.3394477417438904,0.3458317263458225,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.6276800698695095,-0.49567874936392076
DDEC_NIKZEN,0.029810922742072473,1.746685855246643,-1.1762038566943853,-0.6856190196773194,-0.05156317857735491,0.06027600631698738,-0.009611970241826613,1.342196130579182,-0.011746937369477883,0.8179264440330787,0.6259510936074585,-0.8254987851893302,-0.9698935320612043,-0.011746937369477883,-0.6291270473306358,0.7585284170599024,0.7703647400684306,0.7875066398307348,0.4328493991291827,0.3394477417438904,0.3458317263458225,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.5507270619190713,-0.393062160084119
DDEC_NIKZEN01,0.05044267934414135,1.7804133516002427,-1.164473402921277,-0.6833873454085683,-0.0470403168350187,0.06027600631698738,-0.009611970241826613,1.2996282243024357,-0.011746937369477883,0.8277639420537489,0.6431259828331121,-0.8407955239064254,-0.9698935320612043,-0.011746937369477883,-0.6291270473306358,0.7585284170599024,0.7703647400684306,0.7875066398307348,0.4328493991291827,0.3394477417438904,0.3458317263458225,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.553059566324117,-0.388946981960894
DDEC_NIKZEN02,-1.5158843425052393,-1.4523409268134393,-1.1475437528907515,-0.6757849385589764,-0.04188850010306037,0.06027600631698738,-0.009611970241826613,1.229097710972616,-0.948210759130235,0.1140399209426191,-0.17831332535399108,-0.33978945000044936,-0.9698935320612043,-0.948210759130235,0.7055636658421921,-0.4269795535906274,-0.6156283488925554,-0.5192834734165758,-0.7310217564227295,-0.679570795309781,-0.7012956975102425,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,2.025709634886757,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,1.8509918373513263,-1.850991837351326,-1.677924430335326,-0.298462371673629,1.6421075667972864,-0.5128685838525089,-0.3664449341835681
DDEC_NIRDOI,0.5755183052565419,0.39397716227369395,0.4270113460101723,-0.1512679137232694,-0.15125764258168964,1.2568365365521834,-0.009611970241826613,0.6241006606574065,1.254213414270064,-0.9942564740566001,-1.0152189715342588,1.4856192572849538,0.48388561336970454,1.254213414270064,-0.9683302120043932,0.4293090473570092,0.9176630810940162,1.374525194529929,0.9463319729775667,1.355288064522008,1.4135857172267132,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,-0.4879586535046041,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,-0.7779583970314493,0.7779583970314493,0.7587038382033024,-0.28955380119469365,-0.8537138425309517,-1.1094230300991315,-1.0688215421164289
